,precision,recall,f1-score,support
e,0.4166666666666667,0.7142857142857143,0.5263157894736842,7.0
f,0.75,0.42857142857142855,0.5454545454545454,7.0
g,0.25,0.6666666666666666,0.36363636363636365,6.0
h,1.0,0.8333333333333334,0.9090909090909091,6.0
i,0.8571428571428571,1.0,0.9230769230769231,6.0
j,1.0,0.8333333333333334,0.9090909090909091,6.0
k,0.75,0.5,0.6,6.0
l,0.0,0.0,0.0,6.0
m,1.0,0.3333333333333333,0.5,6.0
n,0.625,0.7142857142857143,0.6666666666666666,7.0
o,0.0,0.0,0.0,7.0
p,1.0,0.16666666666666666,0.2857142857142857,6.0
q,0.625,0.7142857142857143,0.6666666666666666,7.0
r,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
s,0.0,0.0,0.0,6.0
u,0.75,0.5,0.6,6.0
v,0.0,0.0,0.0,7.0
w,0.5,0.6666666666666666,0.5714285714285714,6.0
x,0.0,0.0,0.0,7.0
y,0.8,0.6666666666666666,0.7272727272727273,6.0
z,0.0,0.0,0.0,6.0
\Sigma,0.5846153846153846,0.19895287958115182,0.296875,191.0
\gamma,0.97,0.8508771929824561,0.9065420560747663,114.0
\Gamma,0.8448275862068966,0.7777777777777778,0.8099173553719008,63.0
\delta,0.9658119658119658,0.904,0.9338842975206612,125.0
\Delta,0.6940298507462687,0.93,0.7948717948717948,100.0
\zeta,0.8414634146341463,0.7840909090909091,0.8117647058823529,88.0
\eta,0.9705882352941176,0.9565217391304348,0.9635036496350365,69.0
\theta,0.6956521739130435,0.7272727272727273,0.7111111111111111,66.0
\Theta,0.6428571428571429,0.3829787234042553,0.48,47.0
\epsilon,0.0,0.0,0.0,55.0
\varepsilon,0.5670103092783505,0.7333333333333333,0.6395348837209303,75.0
\iota,0.9333333333333333,0.875,0.9032258064516129,16.0
\kappa,0.7407407407407407,0.7692307692307693,0.7547169811320755,26.0
\varkappa,0.4375,0.4666666666666667,0.45161290322580644,15.0
\lambda,0.9891304347826086,0.91,0.9479166666666666,100.0
\Lambda,0.4268292682926829,0.7777777777777778,0.5511811023622047,45.0
\mu,0.907563025210084,0.9391304347826087,0.9230769230769231,115.0
\nu,0.9411764705882353,0.8,0.8648648648648649,40.0
\xi,0.9108527131782945,0.914396887159533,0.912621359223301,257.0
\Xi,0.975,0.975,0.975,40.0
\Pi,0.47619047619047616,0.25,0.32786885245901637,80.0
\rho,0.9206349206349206,0.8285714285714286,0.8721804511278195,70.0
\varrho,1.0,0.34782608695652173,0.5161290322580645,23.0
\tau,1.0,0.4186046511627907,0.5901639344262295,43.0
\phi,0.6136363636363636,0.782608695652174,0.6878980891719745,69.0
\Phi,0.9534883720930233,0.6721311475409836,0.7884615384615384,61.0
\varphi,0.9539473684210527,0.9477124183006536,0.9508196721311475,153.0
\chi,0.8064516129032258,0.8064516129032258,0.8064516129032258,93.0
\psi,0.5729166666666666,0.9649122807017544,0.7189542483660131,57.0
\Psi,1.0,0.15555555555555556,0.2692307692307692,45.0
\omega,0.953125,0.953125,0.953125,64.0
\Omega,0.7340425531914894,0.8313253012048193,0.7796610169491526,83.0
\partial,0.9741379310344828,0.9338842975206612,0.9535864978902954,242.0
\int,0.9941002949852508,0.9573863636363636,0.975397973950796,352.0
\cdot,0.8333333333333334,0.9210526315789473,0.875,76.0
\leq,0.8415841584158416,0.8018867924528302,0.821256038647343,106.0
\geq,0.8888888888888888,0.8275862068965517,0.8571428571428571,87.0
<,1.0,0.25,0.4,12.0
>,0.6,0.8181818181818182,0.6923076923076923,11.0
\subset,0.8552631578947368,0.8333333333333334,0.8441558441558441,78.0
\supset,0.9130434782608695,1.0,0.9545454545454546,42.0
\subseteq,0.9869281045751634,0.9556962025316456,0.9710610932475884,158.0
\supseteq,0.9743589743589743,0.926829268292683,0.95,41.0
\cong,0.9784172661870504,0.9714285714285714,0.974910394265233,140.0
\propto,0.7232142857142857,0.5827338129496403,0.6454183266932271,139.0
-,0.8,1.0,0.8888888888888888,12.0
+,0.875,0.7777777777777778,0.8235294117647058,9.0
\mathbb{R},0.012987012987012988,0.16666666666666666,0.024096385542168676,6.0
\$,0.9459459459459459,0.8974358974358975,0.9210526315789473,39.0
\{,0.9727272727272728,0.9385964912280702,0.9553571428571429,114.0
\copyright,0.7931034482758621,0.92,0.8518518518518519,25.0
\dots,0.56,1.0,0.717948717948718,14.0
\},0.9655172413793104,0.8484848484848485,0.9032258064516129,33.0
\S,0.6842105263157895,0.7428571428571429,0.7123287671232876,35.0
\dag,0.8,0.9230769230769231,0.8571428571428571,26.0
\pounds,0.8,0.8,0.8,15.0
\&,0.802547770700637,0.9767441860465116,0.8811188811188811,129.0
\#,0.9238095238095239,0.9065420560747663,0.9150943396226415,107.0
\%,0.9347826086956522,0.9662921348314607,0.9502762430939227,89.0
\checkmark,0.7241379310344828,0.9545454545454546,0.8235294117647058,88.0
\circledR,0.5,0.9166666666666666,0.6470588235294118,12.0
\mathsection,0.0,0.0,0.0,13.0
\amalg,0.3111111111111111,0.7368421052631579,0.4375,19.0
\cup,0.9108910891089109,0.989247311827957,0.9484536082474226,93.0
\oplus,0.9618320610687023,0.9402985074626866,0.9509433962264151,134.0
\times,0.8571428571428571,0.9536423841059603,0.9028213166144201,151.0
\ast,0.875,1.0,0.9333333333333333,56.0
\triangleleft,0.5,0.9285714285714286,0.65,14.0
\otimes,0.9619047619047619,0.9351851851851852,0.9483568075117371,108.0
\triangleright,0.8235294117647058,0.875,0.8484848484848485,16.0
\diamond,0.72,0.72,0.72,25.0
\pm,0.9554140127388535,0.9803921568627451,0.967741935483871,153.0
\div,0.8947368421052632,1.0,0.9444444444444444,34.0
\bullet,0.7,0.6,0.6461538461538462,35.0
\setminus,0.6710526315789473,0.9807692307692307,0.796875,52.0
\uplus,0.95,1.0,0.9743589743589743,19.0
\cap,0.981651376146789,0.9727272727272728,0.9771689497716894,110.0
\mp,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
\sqcap,0.3333333333333333,0.2,0.25,15.0
\vee,0.8076923076923077,0.9655172413793104,0.8795811518324608,87.0
\odot,0.6538461538461539,0.3469387755102041,0.4533333333333333,49.0
\sqcup,1.0,0.18518518518518517,0.3125,27.0
\wedge,0.8938053097345132,0.6917808219178082,0.7799227799227799,146.0
\circ,0.6410256410256411,0.25510204081632654,0.36496350364963503,98.0
