,precision,recall,f1-score,support
\mathcal{N},0.8695652173913043,0.6060606060606061,0.7142857142857143,33.0
\mathcal{O},0.7671232876712328,0.6436781609195402,0.7,87.0
\mathcal{P},0.6818181818181818,0.8108108108108109,0.7407407407407407,37.0
\mathcal{R},0.375,0.1875,0.25,16.0
\mathcal{S},0.47619047619047616,0.5263157894736842,0.5,19.0
\mathcal{T},0.3,0.3157894736842105,0.3076923076923077,19.0
\mathcal{U},0.4117647058823529,0.5833333333333334,0.4827586206896552,12.0
\mathcal{X},0.26666666666666666,0.3076923076923077,0.2857142857142857,13.0
\mathcal{Z},0.5,0.4375,0.4666666666666667,16.0
\mathfrak{A},0.8333333333333334,0.625,0.7142857142857143,16.0
\mathfrak{M},0.9,0.8181818181818182,0.8571428571428571,11.0
\mathfrak{S},0.6842105263157895,0.5652173913043478,0.6190476190476191,23.0
\mathfrak{X},1.0,0.8333333333333334,0.9090909090909091,12.0
\mathbb{1},0.7256637168141593,0.8631578947368421,0.7884615384615384,95.0
\mathds{1},0.3333333333333333,0.0625,0.10526315789473684,32.0
\mathds{C},0.8048780487804879,0.7857142857142857,0.7951807228915663,42.0
\mathds{E},0.5333333333333333,0.7619047619047619,0.6274509803921569,21.0
\mathds{N},0.8679245283018868,0.9019607843137255,0.8846153846153846,102.0
\mathds{P},0.7142857142857143,0.75,0.7317073170731707,20.0
\mathds{Q},0.5714285714285714,0.6956521739130435,0.6274509803921569,23.0
\mathds{R},0.9594594594594594,0.8949579831932774,0.9260869565217391,238.0
\mathds{Z},0.8823529411764706,0.8910891089108911,0.8866995073891626,101.0
\mathscr{A},0.5625,0.47368421052631576,0.5142857142857142,19.0
\mathscr{C},0.6923076923076923,0.4090909090909091,0.5142857142857142,22.0
\mathscr{D},0.5,0.5,0.5,14.0
\mathscr{E},0.4117647058823529,0.6363636363636364,0.5,11.0
\mathscr{F},0.625,0.35714285714285715,0.45454545454545453,14.0
\mathscr{H},0.52,0.6190476190476191,0.5652173913043478,21.0
\mathscr{L},0.7831325301204819,0.8024691358024691,0.7926829268292683,81.0
\mathscr{P},0.6,0.25,0.35294117647058826,12.0
\mathscr{S},0.6,0.45,0.5142857142857142,20.0
\celsius,0.8333333333333334,0.9090909090909091,0.8695652173913043,33.0
\degree,0.32608695652173914,0.4411764705882353,0.375,68.0
\ohm,0.30612244897959184,0.45454545454545453,0.36585365853658536,33.0
\venus,0.42857142857142855,0.6923076923076923,0.5294117647058824,13.0
\mars,0.5714285714285714,0.6956521739130435,0.6274509803921569,23.0
\astrosun,1.0,0.1,0.18181818181818182,30.0
\fullmoon,0.375,0.2,0.2608695652173913,15.0
\leftmoon,0.75,0.8181818181818182,0.782608695652174,11.0
\female,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
\male,0.6363636363636364,0.5526315789473685,0.5915492957746479,38.0
\checked,0.125,0.03571428571428571,0.05555555555555555,28.0
\diameter,0.15,0.15,0.15,20.0
\sun,1.0,1.0,1.0,17.0
\Bowtie,0.5476190476190477,0.8518518518518519,0.6666666666666666,27.0
\mathbb{Q},0.1,0.16666666666666666,0.125,6.0
\mathbb{N},0.0,0.0,0.0,6.0
\mathbb{Z},0.5,0.42857142857142855,0.46153846153846156,7.0
\mathbb{H},0.75,0.75,0.75,8.0
\ss,0.5,0.08333333333333333,0.14285714285714285,24.0
\aa,0.9047619047619048,0.7916666666666666,0.8444444444444444,24.0
\L,0.6,0.9,0.72,10.0
\AA,0.9342105263157895,0.9342105263157895,0.9342105263157895,76.0
\O,0.3333333333333333,0.08333333333333333,0.13333333333333333,24.0
\o,0.42857142857142855,0.28125,0.33962264150943394,32.0
\ae,0.782608695652174,0.6206896551724138,0.6923076923076923,29.0
\AE,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
\guillemotleft,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
accuracy,0.7681850282485876,0.7681850282485876,0.7681850282485876,0.7681850282485876
macro avg,0.662163062377363,0.6658192508869767,0.6474099146684846,16992.0
weighted avg,0.7690836642190547,0.7681850282485876,0.7604074114138331,16992.0
